,did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,first_time
3935,3935,QSAR-TID-11766,1,62,active,Sparse_ARFF,,,,0.0,1026.0,83.0,0.0,0.0,1025.0,1.0,0.280001163482666
3936,3936,QSAR-TID-11637,1,62,active,Sparse_ARFF,,,,0.0,1026.0,96.0,0.0,0.0,1025.0,1.0,0.42796874046325684
3937,3937,QSAR-TID-11718,1,62,active,Sparse_ARFF,,,,0.0,1026.0,27.0,0.0,0.0,1025.0,1.0,0.398029088973999
3938,3938,QSAR-TID-101030,1,62,active,Sparse_ARFF,,,,0.0,1026.0,103.0,0.0,0.0,1025.0,1.0,0.4309675693511963
3939,3939,QSAR-TID-101056,1,62,active,Sparse_ARFF,,,,0.0,1026.0,79.0,0.0,0.0,1025.0,1.0,0.4060027599334717
3940,3940,QSAR-TID-11150,1,62,active,Sparse_ARFF,,,,0.0,1026.0,84.0,0.0,0.0,1025.0,1.0,0.45900464057922363
3941,3941,QSAR-TID-10578,1,62,active,Sparse_ARFF,,,,0.0,1026.0,48.0,0.0,0.0,1025.0,1.0,0.4669930934906006
3942,3942,QSAR-TID-101034,1,62,active,Sparse_ARFF,,,,0.0,1026.0,746.0,0.0,0.0,1025.0,1.0,0.6409971714019775
3943,3943,QSAR-TID-102669,1,62,active,Sparse_ARFF,,,,0.0,1026.0,180.0,0.0,0.0,1025.0,1.0,0.3930082321166992
3944,3944,QSAR-TID-35,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1597.0,0.0,0.0,1025.0,1.0,0.41675758361816406
3945,3945,QSAR-TID-10495,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1829.0,0.0,0.0,1025.0,1.0,0.605905294418335
3947,3947,QSAR-TID-10315,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1086.0,0.0,0.0,1025.0,1.0,0.4369995594024658
3948,3948,QSAR-TID-100143,1,62,active,Sparse_ARFF,,,,0.0,1026.0,15.0,0.0,0.0,1025.0,1.0,0.32460689544677734
3949,3949,QSAR-TID-12471,1,62,active,Sparse_ARFF,,,,0.0,1026.0,406.0,0.0,0.0,1025.0,1.0,0.529998779296875
3950,3950,QSAR-TID-261,1,62,active,Sparse_ARFF,,,,0.0,1026.0,542.0,0.0,0.0,1025.0,1.0,0.43203282356262207
3951,3951,QSAR-TID-10907,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1443.0,0.0,0.0,1025.0,1.0,0.3817138671875
3952,3952,QSAR-TID-17000,1,62,active,Sparse_ARFF,,,,0.0,1026.0,31.0,0.0,0.0,1025.0,1.0,0.24000048637390137
3953,3953,QSAR-TID-12965,1,62,active,Sparse_ARFF,,,,0.0,1026.0,74.0,0.0,0.0,1025.0,1.0,0.2780585289001465
3954,3954,QSAR-TID-12854,1,62,active,Sparse_ARFF,,,,0.0,1026.0,62.0,0.0,0.0,1025.0,1.0,0.3079946041107178
3955,3955,QSAR-TID-12406,1,62,active,Sparse_ARFF,,,,0.0,1026.0,62.0,0.0,0.0,1025.0,1.0,0.2686612606048584
3956,3956,QSAR-TID-103800,1,62,active,Sparse_ARFF,,,,0.0,1026.0,91.0,0.0,0.0,1025.0,1.0,0.3119995594024658
3957,3957,QSAR-TID-12038,1,62,active,Sparse_ARFF,,,,0.0,1026.0,143.0,0.0,0.0,1025.0,1.0,0.3702712059020996
3958,3958,QSAR-TID-11806,1,62,active,Sparse_ARFF,,,,0.0,1026.0,27.0,0.0,0.0,1025.0,1.0,0.2510058879852295
3959,3959,QSAR-TID-10062,1,62,active,Sparse_ARFF,,,,0.0,1026.0,211.0,0.0,0.0,1025.0,1.0,0.316558837890625
3960,3960,QSAR-TID-101408,1,62,active,Sparse_ARFF,,,,0.0,1026.0,583.0,0.0,0.0,1025.0,1.0,0.38405466079711914
3961,3961,QSAR-TID-100435,1,62,active,Sparse_ARFF,,,,0.0,1026.0,22.0,0.0,0.0,1025.0,1.0,0.24659037590026855
3962,3962,QSAR-TID-30041,1,62,active,Sparse_ARFF,,,,0.0,1026.0,81.0,0.0,0.0,1025.0,1.0,0.35001540184020996
3963,3963,QSAR-TID-243,1,62,active,Sparse_ARFF,,,,0.0,1026.0,283.0,0.0,0.0,1025.0,1.0,0.36188602447509766
3964,3964,QSAR-TID-10620,1,62,active,Sparse_ARFF,,,,0.0,1026.0,68.0,0.0,0.0,1025.0,1.0,0.43817925453186035
3965,3965,QSAR-TID-12694,1,62,active,Sparse_ARFF,,,,0.0,1026.0,862.0,0.0,0.0,1025.0,1.0,0.6011531352996826
3966,3966,QSAR-TID-10443,1,62,active,Sparse_ARFF,,,,0.0,1026.0,769.0,0.0,0.0,1025.0,1.0,0.4636056423187256
3967,3967,QSAR-TID-114,1,62,active,Sparse_ARFF,,,,0.0,1026.0,3490.0,0.0,0.0,1025.0,1.0,0.4520301818847656
3968,3968,QSAR-TID-10197,1,62,active,Sparse_ARFF,,,,0.0,1026.0,3058.0,0.0,0.0,1025.0,1.0,0.41696763038635254
3969,3969,QSAR-TID-12568,1,62,active,Sparse_ARFF,,,,0.0,1026.0,340.0,0.0,0.0,1025.0,1.0,0.5861952304840088
3970,3970,QSAR-TID-12135,1,62,active,Sparse_ARFF,,,,0.0,1026.0,48.0,0.0,0.0,1025.0,1.0,0.43114447593688965
3971,3971,QSAR-TID-10796,1,62,active,Sparse_ARFF,,,,0.0,1026.0,536.0,0.0,0.0,1025.0,1.0,0.49187183380126953
3972,3972,QSAR-TID-130,1,62,active,Sparse_ARFF,,,,0.0,1026.0,3133.0,0.0,0.0,1025.0,1.0,0.7119965553283691
3973,3973,QSAR-TID-11239,1,62,active,Sparse_ARFF,,,,0.0,1026.0,70.0,0.0,0.0,1025.0,1.0,0.37902379035949707
3974,3974,QSAR-TID-100129,1,62,active,Sparse_ARFF,,,,0.0,1026.0,513.0,0.0,0.0,1025.0,1.0,0.5940022468566895
3975,3975,QSAR-TID-11126,1,62,active,Sparse_ARFF,,,,0.0,1026.0,14.0,0.0,0.0,1025.0,1.0,0.2909979820251465
3976,3976,QSAR-TID-184,1,62,active,Sparse_ARFF,,,,0.0,1026.0,224.0,0.0,0.0,1025.0,1.0,0.3390538692474365
3977,3977,QSAR-TID-11094,1,62,active,Sparse_ARFF,,,,0.0,1026.0,192.0,0.0,0.0,1025.0,1.0,0.31299901008605957
3978,3978,QSAR-TID-10472,1,62,active,Sparse_ARFF,,,,0.0,1026.0,455.0,0.0,0.0,1025.0,1.0,0.3880326747894287
3979,3979,QSAR-TID-10692,1,62,active,Sparse_ARFF,,,,0.0,1026.0,388.0,0.0,0.0,1025.0,1.0,0.3829665184020996
3980,3980,QSAR-TID-12742,1,62,active,Sparse_ARFF,,,,0.0,1026.0,737.0,0.0,0.0,1025.0,1.0,0.454465389251709
3981,3981,QSAR-TID-10183,1,62,active,Sparse_ARFF,,,,0.0,1026.0,706.0,0.0,0.0,1025.0,1.0,0.4049997329711914
3982,3982,QSAR-TID-12171,1,62,active,Sparse_ARFF,,,,0.0,1026.0,344.0,0.0,0.0,1025.0,1.0,0.38900160789489746
3983,3983,QSAR-TID-10545,1,62,active,Sparse_ARFF,,,,0.0,1026.0,22.0,0.0,0.0,1025.0,1.0,0.2639613151550293
3984,3984,QSAR-TID-10493,1,62,active,Sparse_ARFF,,,,0.0,1026.0,52.0,0.0,0.0,1025.0,1.0,0.31201767921447754
3985,3985,QSAR-TID-12724,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1257.0,0.0,0.0,1025.0,1.0,0.40001678466796875
3986,3986,QSAR-TID-101434,1,62,active,Sparse_ARFF,,,,0.0,1026.0,74.0,0.0,0.0,1025.0,1.0,0.3903205394744873
3987,3987,QSAR-TID-11871,1,62,active,Sparse_ARFF,,,,0.0,1026.0,462.0,0.0,0.0,1025.0,1.0,0.5589971542358398
3988,3988,QSAR-TID-101033,1,62,active,Sparse_ARFF,,,,0.0,1026.0,75.0,0.0,0.0,1025.0,1.0,0.49000096321105957
3989,3989,QSAR-TID-101278,1,62,active,Sparse_ARFF,,,,0.0,1026.0,79.0,0.0,0.0,1025.0,1.0,0.45399999618530273
3990,3990,QSAR-TID-102826,1,62,active,Sparse_ARFF,,,,0.0,1026.0,10.0,0.0,0.0,1025.0,1.0,0.29300403594970703
3991,3991,QSAR-TID-194,1,62,active,Sparse_ARFF,,,,0.0,1026.0,5188.0,0.0,0.0,1025.0,1.0,0.5909934043884277
3992,3992,QSAR-TID-12104,1,62,active,Sparse_ARFF,,,,0.0,1026.0,118.0,0.0,0.0,1025.0,1.0,0.37900710105895996
3993,3993,QSAR-TID-10320,1,62,active,Sparse_ARFF,,,,0.0,1026.0,138.0,0.0,0.0,1025.0,1.0,0.42702746391296387
3994,3994,QSAR-TID-10797,1,62,active,Sparse_ARFF,,,,0.0,1026.0,47.0,0.0,0.0,1025.0,1.0,0.3279998302459717
3995,3995,QSAR-TID-101073,1,62,active,Sparse_ARFF,,,,0.0,1026.0,73.0,0.0,0.0,1025.0,1.0,0.37096261978149414
3996,3996,QSAR-TID-10207,1,62,active,Sparse_ARFF,,,,0.0,1026.0,89.0,0.0,0.0,1025.0,1.0,0.39200472831726074
3997,3997,QSAR-TID-51,1,62,active,Sparse_ARFF,,,,0.0,1026.0,3356.0,0.0,0.0,1025.0,1.0,0.4829981327056885
3998,3998,QSAR-TID-10230,1,62,active,Sparse_ARFF,,,,0.0,1026.0,19.0,0.0,0.0,1025.0,1.0,0.7130014896392822
3999,3999,QSAR-TID-11430,1,62,active,Sparse_ARFF,,,,0.0,1026.0,614.0,0.0,0.0,1025.0,1.0,0.47699403762817383
4000,4000,QSAR-TID-106,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1236.0,0.0,0.0,1025.0,1.0,0.46193909645080566
4001,4001,QSAR-TID-100042,1,62,active,Sparse_ARFF,,,,0.0,1026.0,14.0,0.0,0.0,1025.0,1.0,0.2590336799621582
4002,4002,QSAR-TID-102718,1,62,active,Sparse_ARFF,,,,0.0,1026.0,31.0,0.0,0.0,1025.0,1.0,0.2749652862548828
4003,4003,QSAR-TID-102711,1,62,active,Sparse_ARFF,,,,0.0,1026.0,74.0,0.0,0.0,1025.0,1.0,0.4290330410003662
4004,4004,QSAR-TID-100075,1,62,active,Sparse_ARFF,,,,0.0,1026.0,145.0,0.0,0.0,1025.0,1.0,0.3979647159576416
4005,4005,QSAR-TID-48,1,62,active,Sparse_ARFF,,,,0.0,1026.0,551.0,0.0,0.0,1025.0,1.0,0.590998649597168
4006,4006,QSAR-TID-100995,1,62,active,Sparse_ARFF,,,,0.0,1026.0,785.0,0.0,0.0,1025.0,1.0,0.5980024337768555
4007,4007,QSAR-TID-17147,1,62,active,Sparse_ARFF,,,,0.0,1026.0,18.0,0.0,0.0,1025.0,1.0,0.35399651527404785
4008,4008,QSAR-TID-101058,1,62,active,Sparse_ARFF,,,,0.0,1026.0,594.0,0.0,0.0,1025.0,1.0,0.5290012359619141
4009,4009,QSAR-TID-163,1,62,active,Sparse_ARFF,,,,0.0,1026.0,2570.0,0.0,0.0,1025.0,1.0,0.5799996852874756
4010,4010,QSAR-TID-10426,1,62,active,Sparse_ARFF,,,,0.0,1026.0,27.0,0.0,0.0,1025.0,1.0,0.32352137565612793
4011,4011,QSAR-TID-10926,1,62,active,Sparse_ARFF,,,,0.0,1026.0,62.0,0.0,0.0,1025.0,1.0,0.3915364742279053
4012,4012,QSAR-TID-215,1,62,active,Sparse_ARFF,,,,0.0,1026.0,726.0,0.0,0.0,1025.0,1.0,0.4519963264465332
4013,4013,QSAR-TID-12268,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1352.0,0.0,0.0,1025.0,1.0,0.4501004219055176
4014,4014,QSAR-TID-103453,1,62,active,Sparse_ARFF,,,,0.0,1026.0,73.0,0.0,0.0,1025.0,1.0,0.5244982242584229
4015,4015,QSAR-TID-11575,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1490.0,0.0,0.0,1025.0,1.0,0.4723358154296875
4016,4016,QSAR-TID-12708,1,62,active,Sparse_ARFF,,,,0.0,1026.0,469.0,0.0,0.0,1025.0,1.0,0.42569684982299805
4017,4017,QSAR-TID-11110,1,62,active,Sparse_ARFF,,,,0.0,1026.0,969.0,0.0,0.0,1025.0,1.0,0.3699932098388672
4018,4018,QSAR-TID-12244,1,62,active,Sparse_ARFF,,,,0.0,1026.0,10.0,0.0,0.0,1025.0,1.0,0.24157309532165527
4019,4019,QSAR-TID-12983,1,62,active,Sparse_ARFF,,,,0.0,1026.0,810.0,0.0,0.0,1025.0,1.0,0.4089667797088623
4020,4020,QSAR-TID-11225,1,62,active,Sparse_ARFF,,,,0.0,1026.0,2585.0,0.0,0.0,1025.0,1.0,0.4039955139160156
4021,4021,QSAR-TID-100863,1,62,active,Sparse_ARFF,,,,0.0,1026.0,350.0,0.0,0.0,1025.0,1.0,0.37200331687927246
4022,4022,QSAR-TID-10625,1,62,active,Sparse_ARFF,,,,0.0,1026.0,40.0,0.0,0.0,1025.0,1.0,0.26099586486816406
4023,4023,QSAR-TID-30027,1,62,active,Sparse_ARFF,,,,0.0,1026.0,83.0,0.0,0.0,1025.0,1.0,0.41700100898742676
4024,4024,QSAR-TID-10142,1,62,active,Sparse_ARFF,,,,0.0,1026.0,2872.0,0.0,0.0,1025.0,1.0,0.40199995040893555
4025,4025,QSAR-TID-11361,1,62,active,Sparse_ARFF,,,,0.0,1026.0,79.0,0.0,0.0,1025.0,1.0,0.34203505516052246
4026,4026,QSAR-TID-17085,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1159.0,0.0,0.0,1025.0,1.0,0.38396215438842773
4027,4027,QSAR-TID-11907,1,62,active,Sparse_ARFF,,,,0.0,1026.0,270.0,0.0,0.0,1025.0,1.0,0.3209998607635498
4028,4028,QSAR-TID-10277,1,62,active,Sparse_ARFF,,,,0.0,1026.0,886.0,0.0,0.0,1025.0,1.0,0.36803579330444336
4029,4029,QSAR-TID-11296,1,62,active,Sparse_ARFF,,,,0.0,1026.0,156.0,0.0,0.0,1025.0,1.0,0.3439652919769287
4030,4030,QSAR-TID-17086,1,62,active,Sparse_ARFF,,,,0.0,1026.0,74.0,0.0,0.0,1025.0,1.0,0.268841028213501
4031,4031,QSAR-TID-10402,1,62,active,Sparse_ARFF,,,,0.0,1026.0,65.0,0.0,0.0,1025.0,1.0,0.2859940528869629
4032,4032,QSAR-TID-101504,1,62,active,Sparse_ARFF,,,,0.0,1026.0,99.0,0.0,0.0,1025.0,1.0,0.3590049743652344
4033,4033,QSAR-TID-30047,1,62,active,Sparse_ARFF,,,,0.0,1026.0,97.0,0.0,0.0,1025.0,1.0,0.377971887588501
4034,4034,QSAR-TID-11054,1,62,active,Sparse_ARFF,,,,0.0,1026.0,344.0,0.0,0.0,1025.0,1.0,0.33603358268737793
4035,4035,QSAR-TID-11499,1,62,active,Sparse_ARFF,,,,0.0,1026.0,12.0,0.0,0.0,1025.0,1.0,0.22999358177185059
4036,4036,QSAR-TID-11064,1,62,active,Sparse_ARFF,,,,0.0,1026.0,14.0,0.0,0.0,1025.0,1.0,0.257004976272583
4037,4037,QSAR-TID-11286,1,62,active,Sparse_ARFF,,,,0.0,1026.0,297.0,0.0,0.0,1025.0,1.0,0.3323183059692383
4038,4038,QSAR-TID-17024,1,62,active,Sparse_ARFF,,,,0.0,1026.0,373.0,0.0,0.0,1025.0,1.0,0.34000611305236816
4039,4039,QSAR-TID-30014,1,62,active,Sparse_ARFF,,,,0.0,1026.0,987.0,0.0,0.0,1025.0,1.0,0.3809940814971924
4040,4040,QSAR-TID-20162,1,62,active,Sparse_ARFF,,,,0.0,1026.0,156.0,0.0,0.0,1025.0,1.0,0.31890320777893066
4041,4041,QSAR-TID-100097,1,62,active,Sparse_ARFF,,,,0.0,1026.0,894.0,0.0,0.0,1025.0,1.0,0.3670368194580078
4042,4042,QSAR-TID-12536,1,62,active,Sparse_ARFF,,,,0.0,1026.0,202.0,0.0,0.0,1025.0,1.0,0.34496164321899414
4043,4043,QSAR-TID-103458,1,62,active,Sparse_ARFF,,,,0.0,1026.0,72.0,0.0,0.0,1025.0,1.0,0.3299999237060547
4044,4044,QSAR-TID-100862,1,62,active,Sparse_ARFF,,,,0.0,1026.0,177.0,0.0,0.0,1025.0,1.0,0.30500197410583496
4045,4045,QSAR-TID-259,1,62,active,Sparse_ARFF,,,,0.0,1026.0,4332.0,0.0,0.0,1025.0,1.0,0.42380690574645996
4046,4046,QSAR-TID-12955,1,62,active,Sparse_ARFF,,,,0.0,1026.0,532.0,0.0,0.0,1025.0,1.0,0.3500244617462158
4047,4047,QSAR-TID-101225,1,62,active,Sparse_ARFF,,,,0.0,1026.0,79.0,0.0,0.0,1025.0,1.0,0.345888614654541
4048,4048,QSAR-TID-11727,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1174.0,0.0,0.0,1025.0,1.0,0.3869946002960205
4049,4049,QSAR-TID-282,1,62,active,Sparse_ARFF,,,,0.0,1026.0,479.0,0.0,0.0,1025.0,1.0,0.3640015125274658
4050,4050,QSAR-TID-218,1,62,active,Sparse_ARFF,,,,0.0,1026.0,613.0,0.0,0.0,1025.0,1.0,0.3829646110534668
4051,4051,QSAR-TID-11379,1,62,active,Sparse_ARFF,,,,0.0,1026.0,429.0,0.0,0.0,1025.0,1.0,0.354032039642334
4052,4052,QSAR-TID-10264,1,62,active,Sparse_ARFF,,,,0.0,1026.0,146.0,0.0,0.0,1025.0,1.0,0.38599538803100586
4053,4053,QSAR-TID-30009,1,62,active,Sparse_ARFF,,,,0.0,1026.0,102.0,0.0,0.0,1025.0,1.0,0.3689713478088379
4054,4054,QSAR-TID-11168,1,62,active,Sparse_ARFF,,,,0.0,1026.0,62.0,0.0,0.0,1025.0,1.0,0.27402687072753906
4055,4055,QSAR-TID-10654,1,62,active,Sparse_ARFF,,,,0.0,1026.0,122.0,0.0,0.0,1025.0,1.0,0.32752227783203125
4056,4056,QSAR-TID-277,1,62,active,Sparse_ARFF,,,,0.0,1026.0,133.0,0.0,0.0,1025.0,1.0,0.3119990825653076
4057,4057,QSAR-TID-10547,1,62,active,Sparse_ARFF,,,,0.0,1026.0,622.0,0.0,0.0,1025.0,1.0,0.38599634170532227
4058,4058,QSAR-TID-11634,1,62,active,Sparse_ARFF,,,,0.0,1026.0,569.0,0.0,0.0,1025.0,1.0,0.35401487350463867
4059,4059,QSAR-TID-10364,1,62,active,Sparse_ARFF,,,,0.0,1026.0,64.0,0.0,0.0,1025.0,1.0,0.3359978199005127
4060,4060,QSAR-TID-11602,1,62,active,Sparse_ARFF,,,,0.0,1026.0,53.0,0.0,0.0,1025.0,1.0,0.259749174118042
4061,4061,QSAR-TID-11287,1,62,active,Sparse_ARFF,,,,0.0,1026.0,100.0,0.0,0.0,1025.0,1.0,0.3309614658355713
4062,4062,QSAR-TID-10844,1,62,active,Sparse_ARFF,,,,0.0,1026.0,166.0,0.0,0.0,1025.0,1.0,0.3715832233428955
4063,4063,QSAR-TID-245,1,62,active,Sparse_ARFF,,,,0.0,1026.0,20.0,0.0,0.0,1025.0,1.0,0.21797943115234375
4064,4064,QSAR-TID-10695,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1292.0,0.0,0.0,1025.0,1.0,0.3769998550415039
4065,4065,QSAR-TID-100907,1,62,active,Sparse_ARFF,,,,0.0,1026.0,80.0,0.0,0.0,1025.0,1.0,0.36051487922668457
4066,4066,QSAR-TID-10528,1,62,active,Sparse_ARFF,,,,0.0,1026.0,62.0,0.0,0.0,1025.0,1.0,0.27503013610839844
4067,4067,QSAR-TID-11066,1,62,active,Sparse_ARFF,,,,0.0,1026.0,25.0,0.0,0.0,1025.0,1.0,0.23958826065063477
4068,4068,QSAR-TID-100990,1,62,active,Sparse_ARFF,,,,0.0,1026.0,81.0,0.0,0.0,1025.0,1.0,0.3659999370574951
4069,4069,QSAR-TID-101180,1,62,active,Sparse_ARFF,,,,0.0,1026.0,79.0,0.0,0.0,1025.0,1.0,0.33499932289123535
4070,4070,QSAR-TID-100796,1,62,active,Sparse_ARFF,,,,0.0,1026.0,14.0,0.0,0.0,1025.0,1.0,0.2612006664276123
4071,4071,QSAR-TID-10950,1,62,active,Sparse_ARFF,,,,0.0,1026.0,889.0,0.0,0.0,1025.0,1.0,0.3609936237335205
4072,4072,QSAR-TID-30030,1,62,active,Sparse_ARFF,,,,0.0,1026.0,80.0,0.0,0.0,1025.0,1.0,0.36200475692749023
4073,4073,QSAR-TID-17023,1,62,active,Sparse_ARFF,,,,0.0,1026.0,18.0,0.0,0.0,1025.0,1.0,0.2979736328125
4074,4074,QSAR-TID-11891,1,62,active,Sparse_ARFF,,,,0.0,1026.0,121.0,0.0,0.0,1025.0,1.0,0.31499385833740234
4075,4075,QSAR-TID-10434,1,62,active,Sparse_ARFF,,,,0.0,1026.0,3650.0,0.0,0.0,1025.0,1.0,0.5215322971343994
4076,4076,QSAR-TID-10773,1,62,active,Sparse_ARFF,,,,0.0,1026.0,525.0,0.0,0.0,1025.0,1.0,0.5079965591430664
4077,4077,QSAR-TID-11261,1,62,active,Sparse_ARFF,,,,0.0,1026.0,748.0,0.0,0.0,1025.0,1.0,0.47100377082824707
4078,4078,QSAR-TID-12699,1,62,active,Sparse_ARFF,,,,0.0,1026.0,789.0,0.0,0.0,1025.0,1.0,0.46703195571899414
4079,4079,QSAR-TID-103106,1,62,active,Sparse_ARFF,,,,0.0,1026.0,664.0,0.0,0.0,1025.0,1.0,0.5859487056732178
4080,4080,QSAR-TID-11636,1,62,active,Sparse_ARFF,,,,0.0,1026.0,411.0,0.0,0.0,1025.0,1.0,0.38899660110473633
4081,4081,QSAR-TID-100949,1,62,active,Sparse_ARFF,,,,0.0,1026.0,102.0,0.0,0.0,1025.0,1.0,0.4100310802459717
4082,4082,QSAR-TID-12173,1,62,active,Sparse_ARFF,,,,0.0,1026.0,114.0,0.0,0.0,1025.0,1.0,0.3101942539215088
4083,4083,QSAR-TID-103037,1,62,active,Sparse_ARFF,,,,0.0,1026.0,39.0,0.0,0.0,1025.0,1.0,0.27898216247558594
4084,4084,QSAR-TID-10396,1,62,active,Sparse_ARFF,,,,0.0,1026.0,662.0,0.0,0.0,1025.0,1.0,0.3924379348754883
4085,4085,QSAR-TID-10967,1,62,active,Sparse_ARFF,,,,0.0,1026.0,101.0,0.0,0.0,1025.0,1.0,0.4547088146209717
4086,4086,QSAR-TID-12264,1,62,active,Sparse_ARFF,,,,0.0,1026.0,24.0,0.0,0.0,1025.0,1.0,0.27483320236206055
4087,4087,QSAR-TID-101226,1,62,active,Sparse_ARFF,,,,0.0,1026.0,79.0,0.0,0.0,1025.0,1.0,0.38506460189819336
4088,4088,QSAR-TID-30036,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1116.0,0.0,0.0,1025.0,1.0,0.4220280647277832
4089,4089,QSAR-TID-101211,1,62,active,Sparse_ARFF,,,,0.0,1026.0,82.0,0.0,0.0,1025.0,1.0,0.3739199638366699
4090,4090,QSAR-TID-18046,1,62,active,Sparse_ARFF,,,,0.0,1026.0,337.0,0.0,0.0,1025.0,1.0,0.38782477378845215
4091,4091,QSAR-TID-10647,1,62,active,Sparse_ARFF,,,,0.0,1026.0,890.0,0.0,0.0,1025.0,1.0,0.4250345230102539
4092,4092,QSAR-TID-100914,1,62,active,Sparse_ARFF,,,,0.0,1026.0,80.0,0.0,0.0,1025.0,1.0,0.3920328617095947
4093,4093,QSAR-TID-100909,1,62,active,Sparse_ARFF,,,,0.0,1026.0,81.0,0.0,0.0,1025.0,1.0,0.3899219036102295
4094,4094,QSAR-TID-20105,1,62,active,Sparse_ARFF,,,,0.0,1026.0,101.0,0.0,0.0,1025.0,1.0,0.35784173011779785
4095,4095,QSAR-TID-10355,1,62,active,Sparse_ARFF,,,,0.0,1026.0,15.0,0.0,0.0,1025.0,1.0,0.23403573036193848
4096,4096,QSAR-TID-30028,1,62,active,Sparse_ARFF,,,,0.0,1026.0,399.0,0.0,0.0,1025.0,1.0,0.36444091796875
4097,4097,QSAR-TID-101069,1,62,active,Sparse_ARFF,,,,0.0,1026.0,73.0,0.0,0.0,1025.0,1.0,0.3730297088623047
4098,4098,QSAR-TID-102849,1,62,active,Sparse_ARFF,,,,0.0,1026.0,23.0,0.0,0.0,1025.0,1.0,0.27395081520080566
4099,4099,QSAR-TID-11802,1,62,active,Sparse_ARFF,,,,0.0,1026.0,13.0,0.0,0.0,1025.0,1.0,0.2630317211151123
4100,4100,QSAR-TID-100410,1,62,active,Sparse_ARFF,,,,0.0,1026.0,625.0,0.0,0.0,1025.0,1.0,0.4328491687774658
4101,4101,QSAR-TID-10696,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1070.0,0.0,0.0,1025.0,1.0,0.43696141242980957
4102,4102,QSAR-TID-10294,1,62,active,Sparse_ARFF,,,,0.0,1026.0,342.0,0.0,0.0,1025.0,1.0,0.3640286922454834
4103,4103,QSAR-TID-100948,1,62,active,Sparse_ARFF,,,,0.0,1026.0,139.0,0.0,0.0,1025.0,1.0,0.4873654842376709
4104,4104,QSAR-TID-103062,1,62,active,Sparse_ARFF,,,,0.0,1026.0,74.0,0.0,0.0,1025.0,1.0,0.6679975986480713
4105,4105,QSAR-TID-101301,1,62,active,Sparse_ARFF,,,,0.0,1026.0,151.0,0.0,0.0,1025.0,1.0,0.41499805450439453
4106,4106,QSAR-TID-17113,1,62,active,Sparse_ARFF,,,,0.0,1026.0,12.0,0.0,0.0,1025.0,1.0,0.26003360748291016
4107,4107,QSAR-TID-11049,1,62,active,Sparse_ARFF,,,,0.0,1026.0,22.0,0.0,0.0,1025.0,1.0,0.255962610244751
4108,4108,QSAR-TID-17107,1,62,active,Sparse_ARFF,,,,0.0,1026.0,290.0,0.0,0.0,1025.0,1.0,0.3630352020263672
4109,4109,QSAR-TID-101312,1,62,active,Sparse_ARFF,,,,0.0,1026.0,80.0,0.0,0.0,1025.0,1.0,0.4030001163482666
4110,4110,QSAR-TID-11896,1,62,active,Sparse_ARFF,,,,0.0,1026.0,35.0,0.0,0.0,1025.0,1.0,0.2850489616394043
4111,4111,QSAR-TID-76,1,62,active,Sparse_ARFF,,,,0.0,1026.0,454.0,0.0,0.0,1025.0,1.0,0.39196348190307617
4112,4112,QSAR-TID-100906,1,62,active,Sparse_ARFF,,,,0.0,1026.0,79.0,0.0,0.0,1025.0,1.0,0.3660287857055664
4113,4113,QSAR-TID-10274,1,62,active,Sparse_ARFF,,,,0.0,1026.0,940.0,0.0,0.0,1025.0,1.0,0.37800121307373047
4114,4114,QSAR-TID-10548,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1100.0,0.0,0.0,1025.0,1.0,0.37798476219177246
4115,4115,QSAR-TID-108,1,62,active,Sparse_ARFF,,,,0.0,1026.0,2869.0,0.0,0.0,1025.0,1.0,0.4493722915649414
4116,4116,QSAR-TID-12828,1,62,active,Sparse_ARFF,,,,0.0,1026.0,85.0,0.0,0.0,1025.0,1.0,0.3759951591491699
4117,4117,QSAR-TID-10621,1,62,active,Sparse_ARFF,,,,0.0,1026.0,99.0,0.0,0.0,1025.0,1.0,0.36003684997558594
4118,4118,QSAR-TID-11780,1,62,active,Sparse_ARFF,,,,0.0,1026.0,50.0,0.0,0.0,1025.0,1.0,0.3167095184326172
4119,4119,QSAR-TID-30043,1,62,active,Sparse_ARFF,,,,0.0,1026.0,1103.0,0.0,0.0,1025.0,1.0,0.3945739269256592
